	(1)	(2)	(3)	(4)
VARIABLES	twind100	twind100	twind100	twind100
				
bord	0.547**	0.701**	0.465**	0.343**
	(0.0129)	(0.0223)	(0.0176)	(0.0337)
agemay	-0.0370**	-0.0750**	-0.0235**	0.00693
	(0.00417)	(0.00735)	(0.00577)	(0.0101)
educf_1_4	0.0770	0.0853	0.0548	0.188
	(0.0469)	(0.0764)	(0.0649)	(0.136)
educf_5_6	0.242**	0.0800	0.291**	0.365**
	(0.0513)	(0.0892)	(0.0735)	(0.137)
educf_7_10	0.475**	0.607**	0.384**	0.426**
	(0.0534)	(0.0931)	(0.0722)	(0.151)
educf_11plus	0.854**	0.641**	0.739**	0.890**
	(0.0679)	(0.153)	(0.0901)	(0.171)
height	0.0416**	0.0464**	0.0395**	0.0274**
	(0.00259)	(0.00417)	(0.00374)	(0.00684)
bmi	0.0235**	0.0389**	0.0225**	0.00827
	(0.00386)	(0.00791)	(0.00512)	(0.00820)
aiquin	0.0573**	0.0520*	0.0515**	0.0471
	(0.0127)	(0.0205)	(0.0184)	(0.0310)
Constant	-6.700**	-6.258**	-7.300**	-5.744**
	(0.475)	(0.760)	(0.730)	(1.145)
				
Observations	1,109,497	446,734	522,194	140,569
R-squared	0.009	0.011	0.009	0.005
Robust standard errors in parentheses				
** p<0.01, * p<0.05				
